series,phi,N,rep,loglik_pf,phi_true,nu,c
Serie_1,0.6404050632911392,50,13,-7529.96256249504,0.965,2.5,0.2
Serie_1,0.6404050632911392,50,14,-7444.3124515798045,0.965,2.5,0.2
Serie_1,0.6404050632911392,50,15,-7326.599437611502,0.965,2.5,0.2
Serie_1,0.6404050632911392,50,16,-7424.877942764864,0.965,2.5,0.2
Serie_1,0.6404050632911392,50,17,-7542.878157891811,0.965,2.5,0.2
Serie_1,0.6404050632911392,50,18,-7368.094908736423,0.965,2.5,0.2
Serie_1,0.6404050632911392,50,19,-7311.639261358878,0.965,2.5,0.2
Serie_1,0.6404050632911392,50,20,-7364.652961397445,0.965,2.5,0.2
Serie_1,0.6404050632911392,50,21,-7394.885391970101,0.965,2.5,0.2
Serie_1,0.6404050632911392,50,22,-7461.678098177126,0.965,2.5,0.2
Serie_1,0.6404050632911392,50,23,-7416.984907289619,0.965,2.5,0.2
Serie_1,0.6404050632911392,50,24,-7613.774952386588,0.965,2.5,0.2
Serie_1,0.6404050632911392,50,25,-7408.299420144561,0.965,2.5,0.2
Serie_1,0.6404050632911392,50,26,-7222.798642604332,0.965,2.5,0.2
Serie_1,0.6404050632911392,50,27,-7400.352308373282,0.965,2.5,0.2
Serie_1,0.6404050632911392,50,28,-7146.657943276294,0.965,2.5,0.2
Serie_1,0.6404050632911392,50,29,-7294.716759404814,0.965,2.5,0.2
Serie_1,0.6454556962025316,50,0,-7163.988079166564,0.965,2.5,0.2
Serie_1,0.6454556962025316,50,1,-7109.424795251595,0.965,2.5,0.2
Serie_1,0.6454556962025316,50,2,-7032.045170390661,0.965,2.5,0.2
Serie_1,0.6454556962025316,50,3,-7193.136169446214,0.965,2.5,0.2
Serie_1,0.6454556962025316,50,4,-7162.715621414849,0.965,2.5,0.2
Serie_1,0.6454556962025316,50,5,-7176.895791349494,0.965,2.5,0.2
Serie_1,0.6454556962025316,50,6,-7091.855123091718,0.965,2.5,0.2
Serie_1,0.6454556962025316,50,7,-7211.6659837432035,0.965,2.5,0.2
Serie_1,0.6454556962025316,50,8,-7274.51434810229,0.965,2.5,0.2
Serie_1,0.6454556962025316,50,9,-7340.957841896123,0.965,2.5,0.2
Serie_1,0.6454556962025316,50,10,-7146.568717842802,0.965,2.5,0.2
Serie_1,0.6454556962025316,50,11,-7229.325069973452,0.965,2.5,0.2
Serie_1,0.6454556962025316,50,12,-7228.424282337042,0.965,2.5,0.2
Serie_1,0.6454556962025316,50,13,-7122.165255199753,0.965,2.5,0.2
Serie_1,0.6454556962025316,50,14,-7208.93368262541,0.965,2.5,0.2
Serie_1,0.6454556962025316,50,15,-7065.908608961637,0.965,2.5,0.2
Serie_1,0.6454556962025316,50,16,-7324.090419953113,0.965,2.5,0.2
Serie_1,0.6454556962025316,50,17,-7030.815267156621,0.965,2.5,0.2
Serie_1,0.6454556962025316,50,18,-7005.10275358937,0.965,2.5,0.2
Serie_1,0.6454556962025316,50,19,-7151.6336768007795,0.965,2.5,0.2
